,player_name,team_abbreviation,age,player_height,player_weight,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,allstar,was_allstar,previous_allstars,scaled_gp,western_conf
6376,Jason Terry,DAL,33.0,187.96,81.64656,15.8,1.9,4.1,6.4,0.011,0.057,0.245,0.545,0.223,2010,0,0,0,1.0,True
6377,Jamal Crawford,ATL,31.0,195.58,90.7184,14.2,1.7,3.2,-1.3,0.012,0.057,0.231,0.545,0.17800000000000002,2010,0,0,0,0.926829268292683,False
6379,Jameer Nelson,ORL,29.0,182.88,86.18248,13.1,3.0,6.0,7.5,0.019,0.092,0.221,0.5479999999999999,0.324,2010,0,0,1,0.926829268292683,False
6381,James Harden,OKC,21.0,195.58,99.79024,12.2,3.1,2.1,5.7,0.024,0.11,0.197,0.598,0.136,2010,0,0,0,1.0,False
6382,James Johnson,TOR,24.0,205.74,111.13004,7.1,3.7,2.3,-3.1,0.056,0.153,0.183,0.505,0.161,2010,0,0,0,0.4634146341463415,False
6385,Jason Thompson,SAC,24.0,210.82,113.398,8.8,6.1,1.2,-3.9,0.094,0.205,0.179,0.5329999999999999,0.078,2010,0,0,0,0.9146341463414634,True
6386,Jared Dudley,PHX,25.0,200.66,102.0582,10.6,3.9,1.3,-0.2,0.06,0.111,0.17,0.598,0.078,2010,0,0,0,1.0,True
6387,Jarrett Jack,NOH,27.0,190.5,89.357624,8.9,2.1,2.9,-5.6,0.014,0.108,0.229,0.503,0.251,2010,0,0,0,1.0121951219512195,False
6391,Jason Kidd,DAL,38.0,193.04,95.25431999999999,7.9,4.4,8.2,3.7,0.016,0.133,0.142,0.5,0.35700000000000004,2010,0,1,10,0.975609756097561,True
6393,Jason Richardson,ORL,30.0,198.12,102.0582,15.6,4.1,1.8,5.3,0.029,0.11,0.204,0.555,0.087,2010,0,0,0,0.975609756097561,False
6396,Mike Conley,MEM,23.0,185.42,83.91452,13.7,3.0,6.5,4.9,0.013,0.08800000000000001,0.195,0.521,0.273,2010,0,0,0,0.9878048780487805,True
6397,Omri Casspi,SAC,23.0,205.74,102.0582,8.6,4.3,1.0,-5.0,0.049,0.163,0.165,0.517,0.063,2010,0,0,0,0.8658536585365854,True
6404,Daniel Gibson,CLE,25.0,187.96,90.7184,11.6,2.6,3.0,-5.4,0.015,0.098,0.198,0.5329999999999999,0.185,2010,0,0,0,0.8170731707317073,False
6406,Danilo Gallinari,DEN,22.0,208.28,102.0582,15.6,4.9,1.7,2.1,0.033,0.133,0.19,0.597,0.07400000000000001,2010,0,0,0,0.7560975609756098,True
6408,Dante Cunningham,CHA,24.0,203.2,104.32616,6.2,3.6,0.6,-3.3,0.071,0.147,0.16,0.483,0.044,2010,0,0,0,0.9512195121951219,False
6410,Darko Milicic,MIN,26.0,213.36,124.7378,8.8,5.2,1.5,-6.7,0.085,0.146,0.199,0.482,0.099,2010,0,0,0,0.8414634146341463,True
6412,Darrell Arthur,MEM,23.0,205.74,106.59412,9.1,4.3,0.7,2.0,0.08199999999999999,0.16699999999999998,0.21600000000000005,0.534,0.056,2010,0,0,0,0.975609756097561,True
6413,Danny Granger,IND,28.0,203.2,103.418976,20.5,5.4,2.6,-0.9,0.036000000000000004,0.133,0.266,0.5539999999999999,0.128,2010,0,0,1,0.9634146341463414,False
6414,Darren Collison,IND,23.0,182.88,72.57472,13.2,2.8,5.1,-3.3,0.019,0.085,0.218,0.534,0.28,2010,0,0,0,0.9634146341463414,False
6416,D.J. Augustin,CHA,23.0,182.88,81.64656,14.4,2.7,6.1,-4.9,0.017,0.084,0.211,0.541,0.306,2010,0,0,0,1.0,False
6419,Chris Kaman,LAC,29.0,213.36,120.20188,12.4,7.0,1.4,-4.7,0.07200000000000001,0.224,0.245,0.495,0.1,2010,0,1,1,0.3902439024390244,True
6420,Chris Paul,NOH,26.0,182.88,79.3786,15.9,4.1,9.8,5.2,0.016,0.125,0.21,0.578,0.441,2010,1,1,3,0.975609756097561,False
6422,Chris Wilcox,DET,28.0,208.28,106.59412,7.4,4.8,0.8,-1.0,0.112,0.235,0.187,0.5870000000000001,0.068,2010,0,0,0,0.6951219512195121,False
6424,Christian Eyenga,CLE,22.0,195.58,95.25431999999999,6.9,2.8,0.8,-10.4,0.031,0.121,0.173,0.476,0.061,2010,0,0,0,0.5365853658536586,False
6426,Corey Brewer,DAL,25.0,205.74,85.275296,8.0,2.5,1.3,-3.8,0.04,0.09,0.185,0.482,0.09,2010,0,0,0,0.8414634146341463,True
6427,Corey Maggette,MIL,31.0,198.12,102.0582,12.0,3.6,1.3,-3.1,0.037000000000000005,0.165,0.277,0.573,0.111,2010,0,0,0,0.8170731707317073,False
6428,Courtney Lee,HOU,25.0,195.58,90.7184,8.3,2.6,1.2,0.1,0.034,0.104,0.179,0.534,0.092,2010,0,0,0,0.9878048780487805,True
6431,Chuck Hayes,HOU,28.0,198.12,107.954896,7.9,8.1,2.7,5.9,0.122,0.211,0.132,0.5539999999999999,0.14,2010,0,0,0,0.9024390243902439,True
6433,David Lee,GSW,28.0,205.74,108.86208,16.5,9.8,3.2,-2.3,0.093,0.218,0.212,0.5489999999999999,0.136,2010,0,1,1,0.8902439024390244,True
6434,David West,NOH,30.0,205.74,108.86208,18.9,7.6,2.3,3.3,0.077,0.189,0.259,0.5579999999999999,0.126,2010,0,0,2,0.8536585365853658,False
6437,Dorell Wright,GSW,25.0,205.74,92.98636,16.4,5.3,3.0,-2.1,0.031,0.126,0.192,0.539,0.114,2010,0,0,0,1.0,True
6438,Drew Gooden,MIL,29.0,208.28,113.398,11.3,6.8,1.3,-3.7,0.097,0.229,0.248,0.487,0.108,2010,0,0,0,0.4268292682926829,False
6439,Dwight Howard,ORL,25.0,210.82,120.20188,22.9,14.1,1.4,8.6,0.128,0.301,0.272,0.616,0.067,2010,1,1,4,0.9512195121951219,False
6440,Dwyane Wade,MIA,29.0,193.04,99.79024,25.5,6.4,4.6,10.6,0.055,0.14300000000000002,0.313,0.581,0.223,2010,1,1,6,0.926829268292683,False
6444,Earl Watson,UTA,32.0,185.42,88.45044,4.3,2.3,3.5,-0.8,0.04,0.104,0.136,0.5,0.26,2010,0,0,0,0.975609756097561,True
6445,Ed Davis,TOR,22.0,208.28,97.52228,7.7,7.1,0.6,-9.8,0.121,0.219,0.134,0.583,0.039,2010,0,0,0,0.7926829268292683,False
6449,Earl Boykins,MIL,35.0,165.1,60.327736,7.2,1.0,2.5,2.7,0.021,0.055,0.24,0.526,0.301,2010,0,0,0,0.6951219512195121,False
6450,Dirk Nowitzki,DAL,33.0,213.36,111.13004,23.0,7.0,2.6,11.0,0.025,0.203,0.282,0.612,0.136,2010,1,1,9,0.8902439024390244,True
6452,Devin Harris,UTA,28.0,190.5,86.18248,15.2,2.4,7.1,-5.0,0.009000000000000001,0.08199999999999999,0.247,0.545,0.373,2010,0,0,1,0.8658536585365854,True
6453,DeAndre Jordan,LAC,22.0,210.82,120.20188,7.1,7.2,0.5,-2.7,0.122,0.206,0.118,0.648,0.031,2010,0,0,0,0.975609756097561,True
6454,DeJuan Blair,SAS,22.0,200.66,122.46984,8.3,7.0,1.0,5.1,0.14400000000000002,0.232,0.198,0.524,0.067,2010,0,0,0,0.9878048780487805,True
6455,DeMar DeRozan,TOR,21.0,200.66,99.79024,17.2,3.8,1.8,-7.7,0.03,0.104,0.232,0.53,0.085,2010,0,0,0,1.0,False
6456,DeMarcus Cousins,SAC,20.0,210.82,122.46984,14.1,8.6,2.5,-7.5,0.105,0.247,0.272,0.484,0.149,2010,0,0,0,0.9878048780487805,True
6461,Derek Fisher,LAL,36.0,185.42,95.25431999999999,6.8,1.9,2.7,9.3,0.006999999999999999,0.067,0.127,0.486,0.134,2010,0,0,0,1.0,True
6462,Deron Williams,NJN,27.0,190.5,94.800728,20.1,4.0,10.3,-2.7,0.019,0.107,0.257,0.5660000000000001,0.448,2010,1,1,1,0.7926829268292683,False
6465,Derrick Favors,UTA,19.0,208.28,111.583632,6.8,5.3,0.5,-7.2,0.128,0.183,0.172,0.542,0.044,2010,0,0,0,0.9512195121951219,True
6466,Derrick Rose,CHI,22.0,190.5,86.18248,25.0,4.1,7.7,8.3,0.032,0.093,0.319,0.55,0.3720000000000001,2010,1,1,1,0.9878048780487805,False
6468,Chris Douglas-Roberts,MIL,24.0,200.66,95.25431999999999,7.3,2.0,1.1,-1.0,0.009000000000000001,0.109,0.18600000000000005,0.517,0.098,2010,0,0,0,0.5365853658536586,False
6469,Chris Bosh,MIA,27.0,210.82,106.59412,18.7,8.3,1.9,11.4,0.064,0.199,0.234,0.569,0.086,2010,1,1,5,0.9390243902439024,False
6470,Chris Andersen,DEN,32.0,208.28,103.418976,5.6,4.9,0.4,5.2,0.12,0.223,0.131,0.636,0.043,2010,0,0,0,0.5487804878048781,True
6471,Chauncey Billups,NYK,34.0,190.5,95.25431999999999,16.8,2.6,5.4,2.8,0.013,0.081,0.225,0.617,0.266,2010,0,1,5,0.8780487804878049,False
6473,Andrew Bogut,MIL,26.0,213.36,117.93392,12.8,11.1,2.0,0.0,0.099,0.262,0.198,0.496,0.103,2010,0,0,0,0.7926829268292683,False
6474,Andrew Bynum,LAL,23.0,213.36,129.27372,11.3,9.4,1.4,7.1,0.133,0.252,0.18,0.606,0.079,2010,0,0,0,0.6585365853658537,True
6475,Andris Biedrins,GSW,25.0,213.36,108.86208,5.0,7.2,1.0,-7.8,0.115,0.242,0.106,0.526,0.06,2010,0,0,0,0.7195121951219512,True
6477,Antawn Jamison,CLE,35.0,205.74,106.59412,18.0,6.7,1.7,-10.6,0.05,0.18600000000000005,0.255,0.516,0.092,2010,0,0,2,0.6829268292682927,False
6478,Andrei Kirilenko,UTA,30.0,205.74,106.59412,11.7,5.1,3.0,-1.1,0.06,0.135,0.17800000000000002,0.5670000000000001,0.145,2010,0,0,1,0.7804878048780488,True
6480,Anthony Parker,CLE,36.0,198.12,95.25431999999999,8.3,3.0,3.0,-7.8,0.018000000000000002,0.102,0.146,0.505,0.16399999999999998,2010,0,0,0,0.8780487804878049,False
6481,Anthony Randolph,MIN,21.0,210.82,102.0582,7.6,4.0,0.8,-10.7,0.079,0.228,0.262,0.505,0.103,2010,0,0,0,0.4878048780487805,True
6482,Anthony Tolliver,MIN,26.0,205.74,110.222856,6.7,4.5,1.3,-4.0,0.07400000000000001,0.17800000000000002,0.133,0.585,0.09,2010,0,0,0,0.7926829268292683,True
6484,Antonio McDyess,SAS,36.0,205.74,111.13004,5.3,5.4,1.2,5.8,0.107,0.225,0.15,0.516,0.093,2010,0,0,1,0.8902439024390244,True
6486,Anthony Morrow,NJN,25.0,195.58,95.25431999999999,13.2,3.0,1.2,-4.1,0.023,0.08800000000000001,0.18,0.573,0.063,2010,0,0,0,0.7073170731707317,False
6487,Andrea Bargnani,TOR,25.0,213.36,113.398,21.4,5.2,1.8,-8.0,0.037000000000000005,0.141,0.282,0.5329999999999999,0.086,2010,0,0,0,0.8048780487804879,False
6488,Andre Miller,POR,35.0,187.96,90.7184,12.7,3.7,7.0,4.7,0.044,0.098,0.209,0.529,0.348,2010,0,0,0,0.9878048780487805,True
6489,Andre Iguodala,PHI,27.0,198.12,93.893544,14.1,5.8,6.3,3.4,0.029,0.151,0.192,0.53,0.261,2010,0,0,0,0.8170731707317073,False
6490,AJ Price,IND,24.0,187.96,82.10015200000002,6.5,1.4,2.2,1.6,0.022,0.083,0.227,0.454,0.233,2010,0,0,0,0.6097560975609756,False
6491,Aaron Brooks,PHX,26.0,182.88,73.028312,10.7,1.3,3.9,-6.5,0.017,0.053,0.257,0.489,0.289,2010,0,0,0,0.7195121951219512,True
6494,Al Harrington,DEN,31.0,205.74,113.398,10.5,4.5,1.4,3.7,0.054000000000000006,0.179,0.221,0.527,0.096,2010,0,0,0,0.8902439024390244,True
6495,Al Horford,ATL,25.0,208.28,111.13004,15.3,9.3,3.5,0.2,0.081,0.233,0.199,0.5870000000000001,0.16899999999999998,2010,1,1,1,0.9390243902439024,False
6496,Al Jefferson,UTA,26.0,208.28,127.00576,18.6,9.7,1.8,-3.2,0.094,0.228,0.242,0.528,0.09,2010,0,0,0,1.0,True
6497,Al Thornton,GSW,27.0,203.2,106.59412,7.4,3.0,0.9,-4.8,0.048,0.139,0.182,0.531,0.07200000000000001,2010,0,0,0,0.8658536585365854,True
6501,Amar'e Stoudemire,NYK,28.0,208.28,108.86208,25.3,8.2,2.6,1.2,0.08,0.177,0.309,0.565,0.128,2010,1,1,5,0.9512195121951219,False
6502,Amir Johnson,TOR,24.0,205.74,95.25431999999999,9.6,6.4,1.1,-2.8,0.117,0.179,0.154,0.608,0.064,2010,0,0,0,0.8780487804878049,False
6503,Anderson Varejao,CLE,28.0,210.82,117.93392,9.1,9.7,1.5,-9.0,0.111,0.24,0.135,0.56,0.07400000000000001,2010,0,0,0,0.3780487804878049,False
6504,Andray Blatche,WAS,24.0,210.82,117.93392,16.8,8.2,2.3,-6.9,0.094,0.19,0.256,0.4970000000000001,0.115,2010,0,0,0,0.7804878048780488,False
6505,Arron Afflalo,DEN,25.0,195.58,97.52228,12.6,3.6,2.4,3.8,0.023,0.101,0.15,0.62,0.109,2010,0,0,0,0.8414634146341463,True
6506,Elton Brand,PHI,32.0,205.74,115.212368,15.0,8.3,1.5,1.4,0.097,0.181,0.197,0.5529999999999999,0.07,2010,0,0,2,0.9878048780487805,False
